id,name,ingrediets,calories,carbohyadrates,sugar,cousine,consumption,,
1,Corn Tortillas,"['1 cup maize flour (makai ka atta)', '3/4 cup plain flour (maida)', '3 tsp oil', '3/4 tsp salt']",73.95 kcal,13.45 grams,0.1 grams,mexican,2,,
2,Italian Sausage Bell Pepper Pasta,"['2 Johnsonville Spicy Italian Sausage', '4 ounces rigatoni, or any short-cut pasta', '1/2 cup red onion, diced into 1/2"" pieces', '2 cloves garlic, minced', '1/2 cup red bell pepper, diced into 1/2"" pieces', '1/2 cup green bell pepper, diced into 1/2"" pieces', '1/2 cup yellow bell pepper, diced into 1/2"" pieces', '2-3 baby bok choy', '1 teaspoon red pepper flakes (more or less, to taste)', '1 teaspoon fresh-cracked black pepper', '1/2 Tablespoon avocado oil, if needed', '2 teaspoons fresh parsley, for garnish']",297.88 kcal,17.0 grams,3.78 grams,italian,1,,
3,Secret Detox Drink,"['1 glass of water (12-16 oz.)', '2 Tbsp. apple cider vinegar', '2 Tbsp. lemon juice', '1 tsp. Cinnamon', '1 dash Cayenne Pepper (optional)', 'stevia to taste']",21.02 kcal,5.28 grams,0.68 grams,,1,,
4,Slow and Low Country Ribs,"['4 country ribs, about 3 pounds', 'Kosher salt', 'Vegetable oil', 'The barbecue sauce of your choice']",396.95 kcal,1.03 grams,0.74 grams,Barbecue,2,,
5,French Lentil and Vegetable Soup with Bacon,,267.44 kcal,29.02 grams,4.54 grams,French,4,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
